design,workload,B,ctx,step_ms,tps_user,aggregate_tps,dram_util,mat_util,noc_util,fits,method
tensix_M,v4flash_kvfrac0.25,4,131072,3.6165,277.0,1106.0,0.719,0.082,,False,analytical
pulp_default_L,v4flash_kvfrac0.25,1,8192,2.3878,419.0,419.0,0.382,0.624,,False,analytical
pulp_default_L,v4flash_kvfrac0.25,1,32768,3.1698,315.0,315.0,0.288,0.508,,False,analytical
pulp_default_L,v4flash_kvfrac0.25,1,131072,6.2976,159.0,159.0,0.146,0.334,,False,analytical
pulp_default_L,v4flash_kvfrac0.25,2,8192,4.3033,232.0,465.0,0.276,0.692,,False,analytical
pulp_default_L,v4flash_kvfrac0.25,2,32768,5.8672,170.0,341.0,0.203,0.549,,False,analytical
pulp_default_L,v4flash_kvfrac0.25,2,131072,12.1228,82.0,165.0,0.099,0.347,,False,analytical
pulp_default_L,v4flash_kvfrac0.25,4,8192,8.0324,124.0,498.0,0.214,0.742,,False,analytical
pulp_default_L,v4flash_kvfrac0.25,4,32768,11.1602,90.0,358.0,0.154,0.578,,False,analytical
pulp_default_L,v4flash_kvfrac0.25,4,131072,23.6714,42.0,169.0,0.073,0.355,,False,analytical
pulp_scaled_L,v4flash_kvfrac0.25,1,8192,1.266,790.0,790.0,0.721,0.11,,False,analytical
pulp_scaled_L,v4flash_kvfrac0.25,1,32768,1.3393,747.0,747.0,0.682,0.113,,False,analytical
pulp_scaled_L,v4flash_kvfrac0.25,1,131072,1.6325,613.0,613.0,0.561,0.121,,False,analytical
pulp_scaled_L,v4flash_kvfrac0.25,2,8192,1.6372,611.0,1222.0,0.725,0.171,,False,analytical
pulp_scaled_L,v4flash_kvfrac0.25,2,32768,1.7838,561.0,1121.0,0.666,0.169,,False,analytical
pulp_scaled_L,v4flash_kvfrac0.25,2,131072,2.3703,422.0,844.0,0.504,0.166,,False,analytical
pulp_scaled_L,v4flash_kvfrac0.25,4,8192,2.3558,424.0,1698.0,0.729,0.237,,False,analytical
pulp_scaled_L,v4flash_kvfrac0.25,4,32768,2.649,378.0,1510.0,0.649,0.228,,False,analytical
pulp_scaled_L,v4flash_kvfrac0.25,4,131072,3.8219,262.0,1047.0,0.453,0.206,,False,analytical
tensix_L,v4flash_kvfrac0.25,1,8192,1.2413,806.0,806.0,0.735,0.028,,False,analytical
tensix_L,v4flash_kvfrac0.25,1,32768,1.2506,800.0,800.0,0.73,0.03,,False,analytical
tensix_L,v4flash_kvfrac0.25,1,131072,1.2879,776.0,776.0,0.712,0.038,,False,analytical
tensix_L,v4flash_kvfrac0.25,2,8192,1.5879,630.0,1260.0,0.748,0.044,,False,analytical
tensix_L,v4flash_kvfrac0.25,2,32768,1.6066,622.0,1245.0,0.74,0.047,,False,analytical
tensix_L,v4flash_kvfrac0.25,2,131072,1.6811,595.0,1190.0,0.711,0.059,,False,analytical
tensix_L,v4flash_kvfrac0.25,4,8192,2.2572,443.0,1772.0,0.761,0.062,,False,analytical
tensix_L,v4flash_kvfrac0.25,4,32768,2.2945,436.0,1743.0,0.75,0.066,,False,analytical
tensix_L,v4flash_kvfrac0.25,4,131072,2.4436,409.0,1637.0,0.709,0.081,,False,analytical
pulp_default_S,v4flash_kvfrac0.1,1,8192,7.0479,142.0,142.0,0.388,0.624,,False,analytical
pulp_default_S,v4flash_kvfrac0.1,1,32768,9.3733,107.0,107.0,0.292,0.507,,False,analytical
pulp_default_S,v4flash_kvfrac0.1,1,131072,18.6747,54.0,54.0,0.147,0.331,,False,analytical
pulp_default_S,v4flash_kvfrac0.1,2,8192,12.5865,79.0,159.0,0.283,0.699,,False,analytical
pulp_default_S,v4flash_kvfrac0.1,2,32768,17.2372,58.0,116.0,0.207,0.552,,False,analytical
